Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Yes,379.0,341.0,265.0,10.0,36.0,1050.0,151.0,4950.0,2780.0,530.0,1500.0,62.0,62.0,15.7,7.0,5619.0,38.0
Yes,458.0,369.0,165.0,16.0,42.0,1057.0,355.0,11190.0,4800.0,450.0,1230.0,60.0,60.0,13.6,22.0,8135.0,54.0
No,2172.0,1493.0,564.0,14.0,50.0,2766.0,1531.0,5962.0,4316.0,650.0,500.0,71.0,76.0,16.9,14.0,5719.0,50.0
No,5597.0,4253.0,1565.0,12.0,38.0,9161.0,845.0,5710.0,3066.0,120.0,1730.0,62.0,71.0,16.2,5.0,5682.0,76.0
Yes,486.0,440.0,227.0,19.0,48.0,903.0,59.0,9650.0,3800.0,600.0,1300.0,46.0,65.0,11.4,29.0,10188.0,82.0
Yes,516.0,409.0,200.0,17.0,40.0,1238.0,30.0,8770.0,3500.0,450.0,700.0,58.0,58.0,17.3,17.0,6430.0,70.0
Yes,1422.0,1109.0,366.0,33.0,65.0,1363.0,23.0,15360.0,4080.0,600.0,1e3,82.0,89.0,12.8,26.0,15003.0,59.0
Yes,2417.0,1843.0,426.0,36.0,70.0,1476.0,299.0,14190.0,4400.0,500.0,750.0,65.0,68.0,12.8,25.0,9815.0,81.0
Yes,1457.0,1045.0,345.0,27.0,50.0,1109.0,502.0,14990.0,4980.0,450.0,550.0,77.0,98.0,21.5,21.0,7502.0,64.0
Yes,245.0,208.0,125.0,23.0,46.0,544.0,436.0,11800.0,4765.0,450.0,1700.0,71.0,71.0,11.3,21.0,8952.0,86.0
Yes,3624.0,2786.0,858.0,11.0,39.0,2933.0,334.0,9100.0,3883.0,490.0,1777.0,70.0,74.0,18.9,34.0,6329.0,63.0
Yes,3151.0,2584.0,958.0,14.0,40.0,4772.0,856.0,7800.0,3750.0,570.0,3020.0,37.0,43.0,16.5,4.0,12878.0,44.0
Yes,765.0,646.0,226.0,30.0,60.0,809.0,32.0,8578.0,4408.0,700.0,1600.0,79.0,88.0,13.9,51.0,8061.0,82.0
Yes,8506.0,4168.0,1236.0,76.0,97.0,5544.0,192.0,17600.0,6e3,600.0,870.0,97.0,98.0,5.0,28.0,28457.0,96.0
No,1256.0,1256.0,853.0,43.0,79.0,3957.0,588.0,5401.0,3144.0,450.0,1888.0,72.0,75.0,19.3,4.0,5527.0,50.0
Yes,659.0,557.0,167.0,47.0,74.0,532.0,35.0,10485.0,3840.0,475.0,1246.0,76.0,80.0,13.5,47.0,7527.0,67.0
Yes,560.0,454.0,113.0,36.0,56.0,484.0,16.0,10955.0,3450.0,330.0,670.0,62.0,87.0,10.6,31.0,9552.0,53.0
No,1801.0,1101.0,438.0,14.0,50.0,3065.0,363.0,6297.0,4600.0,600.0,1323.0,75.0,78.0,18.1,14.0,8355.0,68.0
Yes,4784.0,3346.0,781.0,30.0,66.0,2984.0,1037.0,15e3,6200.0,700.0,1100.0,86.0,90.0,15.1,30.0,11220.0,94.0
No,1455.0,1064.0,452.0,1.0,16.0,2632.0,617.0,6806.0,2550.0,350.0,766.0,75.0,75.0,15.1,10.0,6972.0,24.0
Yes,1339.0,1107.0,336.0,12.0,36.0,1051.0,82.0,9400.0,4200.0,500.0,1600.0,53.0,58.0,12.5,9.0,7967.0,22.0
Yes,1415.0,714.0,338.0,18.0,52.0,1345.0,44.0,5120.0,3200.0,500.0,2140.0,52.0,60.0,18.1,9.0,3930.0,69.0
Yes,1947.0,1580.0,523.0,39.0,74.0,1863.0,233.0,13900.0,4140.0,750.0,1500.0,90.0,90.0,10.6,7.0,8923.0,57.0
No,3306.0,2079.0,1071.0,42.0,89.0,10208.0,9310.0,6597.0,2494.0,800.0,3028.0,81.0,96.0,13.9,20.0,6722.0,66.0
Yes,1381.0,1040.0,374.0,20.0,44.0,1506.0,970.0,8025.0,4865.0,400.0,650.0,65.0,74.0,17.4,10.0,6339.0,68.0
No,11651.0,8683.0,3023.0,50.0,90.0,18906.0,3242.0,6680.0,4060.0,600.0,1020.0,80.0,89.0,23.1,15.0,7250.0,58.0
Yes,291.0,245.0,126.0,16.0,49.0,981.0,337.0,8390.0,4100.0,350.0,1500.0,45.0,55.0,21.5,24.0,4607.0,62.0
Yes,4200.0,2874.0,942.0,30.0,55.0,4740.0,1646.0,14235.0,6965.0,600.0,1735.0,86.0,97.0,14.4,14.0,10864.0,80.0
No,3440.0,2823.0,1123.0,16.0,35.0,3793.0,486.0,6198.0,3320.0,500.0,2500.0,89.0,97.0,19.1,6.0,4362.0,46.0
No,1801.0,1655.0,819.0,13.0,38.0,3224.0,436.0,5840.0,3138.0,400.0,2430.0,76.0,76.0,19.1,8.0,5039.0,43.0
Yes,553.0,452.0,228.0,22.0,49.0,1301.0,242.0,9650.0,4400.0,600.0,1e3,57.0,69.0,14.9,8.0,6336.0,83.0
Yes,804.0,632.0,281.0,29.0,72.0,840.0,68.0,10390.0,4040.0,525.0,1345.0,54.0,78.0,12.5,37.0,11751.0,60.0
Yes,5187.0,4471.0,446.0,3.0,14.0,1818.0,1197.0,13320.0,4630.0,500.0,800.0,50.0,56.0,17.6,16.0,6418.0,51.0
Yes,895.0,548.0,314.0,20.0,54.0,1174.0,50.0,5500.0,3340.0,600.0,1600.0,68.0,76.0,16.1,13.0,6078.0,62.0
Yes,346.0,274.0,146.0,51.0,87.0,704.0,63.0,9900.0,3670.0,630.0,1818.0,59.0,59.0,10.5,14.0,8095.0,54.0
Yes,2161.0,1951.0,685.0,56.0,82.0,2371.0,175.0,13440.0,4048.0,600.0,1250.0,92.0,95.0,13.5,28.0,12940.0,82.0
Yes,2464.0,1908.0,678.0,24.0,57.0,2693.0,691.0,10970.0,4280.0,500.0,1380.0,47.0,51.0,13.3,18.0,7711.0,65.0
Yes,1110.0,930.0,332.0,18.0,36.0,1603.0,374.0,8180.0,4270.0,500.0,500.0,65.0,58.0,15.2,12.0,5664.0,29.0
Yes,668.0,534.0,237.0,19.0,39.0,1306.0,258.0,9476.0,4820.0,500.0,1100.0,67.0,67.0,20.1,26.0,6786.0,74.0
Yes,809.0,726.0,294.0,27.0,52.0,1271.0,43.0,12500.0,4130.0,400.0,1050.0,53.0,53.0,13.5,22.0,7136.0,52.0
No,5653.0,4326.0,1727.0,17.0,29.0,9528.0,3822.0,10800.0,4840.0,580.0,1050.0,93.0,96.0,19.3,7.0,6751.0,46.0
Yes,7875.0,5062.0,1492.0,38.0,71.0,5471.0,1470.0,17450.0,6328.0,700.0,950.0,92.0,93.0,7.6,15.0,14745.0,72.0
Yes,727.0,693.0,286.0,30.0,55.0,1063.0,48.0,8100.0,3950.0,550.0,550.0,73.0,76.0,13.3,28.0,7508.0,55.0
Yes,11115.0,2881.0,1390.0,71.0,93.0,5881.0,406.0,18300.0,7131.0,670.0,1700.0,91.0,92.0,7.2,27.0,19635.0,95.0
No,7837.0,4527.0,2276.0,89.0,99.0,8528.0,654.0,6489.0,4438.0,795.0,1164.0,92.0,92.0,19.3,33.0,11271.0,70.0
No,3793.0,2341.0,1238.0,9.0,24.0,7732.0,9054.0,6744.0,2655.0,720.0,3450.0,87.0,89.0,19.0,10.0,7762.0,34.0
Yes,348.0,281.0,127.0,12.0,52.0,1095.0,785.0,9150.0,3950.0,500.0,800.0,56.0,59.0,12.2,27.0,7348.0,76.0
Yes,3596.0,2466.0,575.0,42.0,78.0,1944.0,46.0,19964.0,4328.0,500.0,500.0,94.0,95.0,12.1,32.0,14720.0,83.0
Yes,633.0,468.0,284.0,10.0,27.0,823.0,963.0,6120.0,2985.0,531.0,1830.0,25.0,25.0,27.6,4.0,6081.0,36.0
Yes,1886.0,1524.0,526.0,31.0,67.0,2523.0,296.0,13e3,4450.0,600.0,2400.0,78.0,90.0,14.7,32.0,9553.0,69.0
Yes,674.0,565.0,282.0,25.0,54.0,1151.0,39.0,12200.0,4070.0,400.0,1200.0,73.0,82.0,14.2,32.0,9226.0,66.0
Yes,440.0,396.0,221.0,26.0,51.0,910.0,166.0,9420.0,3730.0,600.0,1230.0,51.0,56.0,9.9,46.0,10270.0,72.0
Yes,1151.0,813.0,248.0,40.0,64.0,850.0,80.0,15588.0,6174.0,500.0,1200.0,78.0,90.0,9.2,34.0,16623.0,77.0
Yes,548.0,428.0,167.0,18.0,46.0,618.0,113.0,8958.0,3670.0,300.0,1e3,53.0,59.0,15.3,26.0,9798.0,64.0
Yes,555.0,414.0,242.0,14.0,41.0,996.0,2281.0,9100.0,3100.0,550.0,880.0,51.0,61.0,23.6,24.0,5609.0,47.0
No,5165.0,3887.0,1561.0,20.0,60.0,8234.0,2619.0,6108.0,3800.0,500.0,1e3,64.0,66.0,20.6,9.0,5063.0,57.0
Yes,780.0,628.0,198.0,7.0,20.0,545.0,42.0,11750.0,2700.0,400.0,850.0,77.0,83.0,14.0,24.0,6475.0,76.0
Yes,608.0,494.0,176.0,10.0,31.0,649.0,314.0,8330.0,3770.0,550.0,1300.0,64.0,80.0,13.0,31.0,7949.0,39.0
Yes,510.0,387.0,194.0,20.0,46.0,771.0,53.0,10310.0,4530.0,400.0,800.0,57.0,61.0,14.3,16.0,8222.0,60.0
Yes,2039.0,1389.0,432.0,56.0,91.0,1333.0,30.0,15688.0,4618.0,400.0,400.0,88.0,92.0,9.5,54.0,18979.0,83.0
Yes,2491.0,1110.0,573.0,57.0,88.0,2213.0,35.0,5224.0,3048.0,525.0,350.0,65.0,65.0,18.4,18.0,4957.0,100.0
Yes,1202.0,1054.0,326.0,18.0,44.0,1410.0,299.0,13404.0,5160.0,450.0,1050.0,78.0,86.0,15.6,30.0,9114.0,65.0
Yes,1709.0,1385.0,634.0,36.0,72.0,2281.0,50.0,14125.0,3600.0,400.0,700.0,79.0,89.0,12.5,58.0,9907.0,80.0
Yes,380.0,237.0,104.0,30.0,56.0,716.0,1108.0,11e3,5550.0,500.0,500.0,36.0,41.0,7.8,22.0,7483.0,96.0
Yes,3140.0,1783.0,454.0,40.0,82.0,1646.0,24.0,19700.0,5050.0,300.0,800.0,91.0,96.0,9.6,60.0,17761.0,91.0
Yes,1006.0,825.0,328.0,34.0,73.0,1362.0,102.0,13252.0,4194.0,450.0,550.0,89.0,93.0,13.0,33.0,10296.0,65.0
Yes,817.0,644.0,307.0,20.0,40.0,945.0,1.0,13218.0,4773.0,660.0,600.0,95.0,97.0,13.3,53.0,12263.0,69.0
Yes,7178.0,3755.0,1433.0,25.0,63.0,4623.0,740.0,7161.0,3518.0,600.0,2e3,60.0,64.0,14.0,9.0,6791.0,70.0
Yes,1006.0,837.0,317.0,33.0,65.0,1024.0,15.0,8200.0,3485.0,500.0,1200.0,84.0,84.0,10.6,26.0,9248.0,64.0
Yes,467.0,424.0,350.0,16.0,40.0,1365.0,334.0,6300.0,2980.0,700.0,2140.0,75.0,79.0,13.7,10.0,7054.0,38.0
Yes,1721.0,1068.0,806.0,35.0,75.0,3128.0,213.0,5504.0,3528.0,700.0,910.0,71.0,77.0,17.7,37.0,6466.0,73.0
Yes,2083.0,1725.0,430.0,22.0,49.0,1464.0,67.0,17480.0,4780.0,500.0,700.0,75.0,87.0,12.3,32.0,11625.0,73.0
Yes,13865.0,2165.0,1606.0,90.0,100.0,6862.0,320.0,18485.0,6410.0,500.0,1920.0,97.0,97.0,9.9,52.0,37219.0,100.0
Yes,1377.0,572.0,178.0,95.0,100.0,654.0,5.0,17230.0,6690.0,700.0,900.0,100.0,100.0,8.2,46.0,21569.0,100.0
Yes,817.0,708.0,262.0,22.0,52.0,935.0,37.0,9376.0,3272.0,500.0,1902.0,57.0,63.0,13.0,17.0,7335.0,52.0
Yes,823.0,721.0,274.0,52.0,87.0,954.0,6.0,8800.0,3195.0,500.0,1200.0,82.0,99.0,13.1,26.0,8588.0,63.0
Yes,920.0,745.0,347.0,35.0,66.0,1133.0,42.0,11090.0,4700.0,400.0,750.0,80.0,80.0,12.0,31.0,12639.0,79.0
Yes,922.0,729.0,244.0,37.0,66.0,1e3,275.0,14067.0,4560.0,400.0,1e3,75.0,95.0,10.6,34.0,12165.0,79.0
Yes,2688.0,2081.0,500.0,25.0,53.0,1792.0,5.0,19029.0,5841.0,600.0,600.0,99.0,99.0,12.1,37.0,13040.0,79.0
Yes,7428.0,5860.0,1349.0,25.0,63.0,6534.0,1350.0,11600.0,5920.0,1e3,1e3,81.0,90.0,13.9,10.0,10093.0,60.0
Yes,602.0,498.0,215.0,26.0,58.0,795.0,74.0,13470.0,5515.0,500.0,850.0,78.0,91.0,11.1,48.0,13957.0,72.0
Yes,699.0,565.0,176.0,36.0,64.0,710.0,399.0,13960.0,6040.0,450.0,690.0,82.0,88.0,14.4,34.0,12434.0,72.0
Yes,1712.0,1483.0,624.0,37.0,69.0,2505.0,208.0,12275.0,4341.0,465.0,1100.0,72.0,81.0,12.5,40.0,9284.0,72.0
Yes,949.0,786.0,302.0,30.0,70.0,1210.0,26.0,9990.0,3550.0,500.0,1500.0,85.0,90.0,15.0,24.0,8187.0,67.0
Yes,608.0,520.0,127.0,26.0,47.0,538.0,126.0,8080.0,3920.0,500.0,1100.0,63.0,72.0,11.4,9.0,7703.0,44.0
Yes,450.0,430.0,125.0,20.0,46.0,488.0,43.0,9950.0,3920.0,300.0,1300.0,76.0,76.0,11.8,25.0,9466.0,47.0
Yes,600.0,197.0,124.0,3.0,9.0,392.0,69.0,7260.0,3090.0,600.0,1840.0,31.0,35.0,12.9,4.0,9249.0,21.0
Yes,723.0,652.0,361.0,10.0,30.0,951.0,706.0,7800.0,4e3,350.0,1500.0,36.0,44.0,22.0,4.0,4923.0,84.0
Yes,607.0,558.0,269.0,22.0,47.0,1222.0,519.0,10500.0,4348.0,650.0,1500.0,81.0,91.0,11.6,29.0,8324.0,75.0
Yes,894.0,787.0,262.0,28.0,63.0,909.0,28.0,8050.0,3850.0,600.0,1e3,75.0,75.0,15.6,30.0,7348.0,52.0
Yes,1756.0,1360.0,478.0,42.0,77.0,1911.0,626.0,14550.0,4620.0,500.0,700.0,80.0,88.0,12.3,26.0,12851.0,56.0
No,8681.0,6695.0,2408.0,10.0,35.0,15701.0,1823.0,7799.0,3403.0,537.0,2605.0,77.0,84.0,21.0,16.0,5569.0,54.0
Yes,3050.0,1342.0,471.0,55.0,86.0,1818.0,23.0,14360.0,4090.0,400.0,650.0,77.0,92.0,12.9,34.0,9605.0,83.0
Yes,268.0,253.0,103.0,16.0,44.0,494.0,1305.0,1e4,5364.0,500.0,1e3,56.0,64.0,11.2,33.0,7305.0,69.0
Yes,1163.0,927.0,386.0,16.0,49.0,1685.0,556.0,8840.0,4689.0,750.0,2775.0,67.0,69.0,11.4,21.0,6095.0,95.0
No,5659.0,4761.0,3147.0,10.0,31.0,8596.0,1949.0,6892.0,3706.0,600.0,2500.0,72.0,76.0,16.6,8.0,6996.0,40.0
No,16587.0,13243.0,5873.0,25.0,72.0,24763.0,2717.0,9766.0,3990.0,600.0,2e3,77.0,88.0,21.3,24.0,8686.0,68.0
Yes,735.0,423.0,366.0,20.0,48.0,2448.0,707.0,9210.0,3782.0,700.0,1e3,49.0,51.0,39.8,15.0,6562.0,34.0
Yes,4892.0,3530.0,913.0,13.0,33.0,3906.0,1446.0,10690.0,6790.0,570.0,1150.0,66.0,83.0,16.0,14.0,8107.0,66.0
No,8427.0,7424.0,3441.0,26.0,59.0,18676.0,1715.0,7550.0,3224.0,640.0,2055.0,81.0,88.0,19.2,22.0,8420.0,65.0
Yes,7259.0,5526.0,1368.0,23.0,52.0,5612.0,166.0,14424.0,6192.0,634.0,1e3,58.0,79.0,11.5,25.0,9812.0,75.0
No,11223.0,5285.0,2082.0,32.0,72.0,9652.0,742.0,7994.0,4544.0,500.0,732.0,77.0,81.0,17.9,29.0,5212.0,98.0
Yes,472.0,410.0,262.0,14.0,41.0,9950.0,71.0,7620.0,3050.0,400.0,400.0,51.0,53.0,17.0,21.0,3186.0,54.0
No,2957.0,1423.0,691.0,10.0,30.0,3817.0,1394.0,3946.0,4800.0,400.0,1500.0,63.0,67.0,14.9,10.0,8367.0,26.0
Yes,605.0,405.0,284.0,24.0,53.0,961.0,99.0,6398.0,3672.0,400.0,1350.0,68.0,68.0,13.3,19.0,8118.0,75.0
Yes,2421.0,2109.0,820.0,27.0,57.0,3168.0,392.0,11700.0,5550.0,600.0,450.0,89.0,90.0,14.5,28.0,7738.0,89.0
Yes,8474.0,3446.0,911.0,75.0,94.0,3566.0,1569.0,18800.0,6740.0,500.0,1040.0,96.0,97.0,3.3,38.0,56233.0,90.0
No,833.0,669.0,279.0,3.0,13.0,1224.0,345.0,7656.0,4690.0,500.0,624.0,80.0,91.0,14.4,15.0,6564.0,36.0
Yes,313.0,228.0,137.0,10.0,30.0,552.0,67.0,9414.0,4554.0,500.0,1700.0,34.0,55.0,10.6,30.0,7840.0,56.0
Yes,1005.0,859.0,298.0,36.0,55.0,1075.0,43.0,14850.0,4460.0,450.0,420.0,97.0,97.0,12.7,37.0,12067.0,80.0
No,5880.0,4075.0,2833.0,25.0,55.0,14914.0,2246.0,6995.0,3120.0,600.0,2e3,76.0,86.0,18.5,22.0,6122.0,54.0
Yes,589.0,575.0,148.0,16.0,40.0,474.0,258.0,8400.0,3250.0,500.0,1400.0,63.0,55.0,12.4,14.0,6535.0,68.0
No,3121.0,2446.0,822.0,5.0,19.0,3480.0,776.0,7870.0,4157.0,500.0,1150.0,73.0,73.0,16.1,13.0,6195.0,61.0
Yes,584.0,497.0,175.0,20.0,49.0,662.0,121.0,8e3,4150.0,500.0,1300.0,57.0,65.0,11.3,32.0,7058.0,62.0
Yes,2212.0,1538.0,408.0,44.0,75.0,1445.0,1.0,19240.0,3690.0,750.0,480.0,95.0,95.0,11.1,46.0,14067.0,88.0
Yes,461.0,381.0,174.0,10.0,43.0,738.0,55.0,9600.0,4550.0,600.0,750.0,55.0,94.0,13.3,43.0,7863.0,51.0
Yes,1456.0,1053.0,381.0,20.0,45.0,500.0,541.0,10910.0,5160.0,400.0,1795.0,66.0,72.0,15.6,37.0,7649.0,87.0
Yes,355.0,300.0,142.0,34.0,65.0,509.0,44.0,8664.0,3350.0,600.0,3e3,65.0,68.0,10.7,25.0,8954.0,65.0
Yes,1040.0,845.0,286.0,48.0,77.0,967.0,24.0,15747.0,4062.0,400.0,800.0,88.0,95.0,12.7,33.0,13224.0,79.0
Yes,361.0,321.0,185.0,10.0,41.0,650.0,819.0,8842.0,4782.0,600.0,1100.0,57.0,73.0,14.2,14.0,7022.0,52.0
Yes,2929.0,1834.0,622.0,20.0,56.0,2738.0,1662.0,12600.0,5610.0,450.0,3160.0,90.0,90.0,15.1,9.0,9084.0,84.0
Yes,4010.0,2402.0,572.0,36.0,59.0,2018.0,226.0,18730.0,5740.0,600.0,1e3,93.0,96.0,10.5,38.0,15365.0,92.0
Yes,544.0,399.0,177.0,15.0,35.0,600.0,363.0,6987.0,3585.0,750.0,1500.0,77.0,83.0,12.5,12.0,9067.0,75.0
Yes,979.0,638.0,271.0,31.0,70.0,968.0,20.0,16880.0,3970.0,920.0,1320.0,91.0,94.0,10.7,19.0,15687.0,77.0
Yes,497.0,452.0,231.0,24.0,47.0,887.0,1957.0,9400.0,4005.0,500.0,1e3,49.0,65.0,17.2,25.0,4054.0,57.0
No,2336.0,1725.0,1043.0,10.0,27.0,5438.0,4058.0,4752.0,3040.0,508.0,1463.0,48.0,82.0,18.4,12.0,5879.0,26.0
Yes,831.0,538.0,224.0,15.0,35.0,840.0,325.0,5170.0,3430.0,600.0,1590.0,61.0,61.0,16.1,10.0,5531.0,60.0
No,1166.0,1009.0,510.0,9.0,33.0,2074.0,341.0,4938.0,2987.0,528.0,1702.0,67.0,77.0,17.0,11.0,6119.0,51.0
Yes,1243.0,947.0,324.0,50.0,77.0,1129.0,74.0,17163.0,3891.0,525.0,975.0,76.0,92.0,10.1,57.0,13965.0,77.0
Yes,1470.0,1199.0,425.0,21.0,76.0,1820.0,558.0,11040.0,4840.0,400.0,900.0,89.0,92.0,13.3,28.0,8118.0,94.0
Yes,1386.0,1060.0,320.0,28.0,56.0,965.0,502.0,13850.0,4755.0,400.0,1125.0,84.0,84.0,12.3,30.0,8196.0,85.0
Yes,6397.0,4304.0,1092.0,40.0,84.0,4298.0,132.0,18700.0,5580.0,750.0,1130.0,96.0,99.0,12.5,43.0,14665.0,91.0
Yes,979.0,743.0,259.0,25.0,46.0,1188.0,166.0,10100.0,4e3,400.0,1e3,88.0,92.0,12.0,20.0,8539.0,66.0
Yes,244.0,198.0,82.0,12.0,33.0,1134.0,336.0,11700.0,5300.0,550.0,805.0,71.0,88.0,27.8,18.0,8694.0,58.0
Yes,477.0,417.0,204.0,29.0,54.0,1532.0,77.0,8840.0,4240.0,600.0,1400.0,58.0,70.0,20.8,23.0,6863.0,56.0
Yes,2774.0,2092.0,482.0,35.0,64.0,1763.0,59.0,15800.0,4790.0,450.0,950.0,97.0,98.0,12.3,21.0,12999.0,69.0
Yes,1154.0,1050.0,395.0,12.0,31.0,2192.0,1423.0,10560.0,4520.0,500.0,1200.0,36.0,48.0,14.3,10.0,7701.0,61.0
Yes,787.0,562.0,363.0,21.0,55.0,925.0,605.0,5950.0,2890.0,600.0,1300.0,67.0,72.0,14.6,35.0,5177.0,53.0
No,1660.0,1091.0,326.0,15.0,41.0,1196.0,33.0,4818.0,3400.0,350.0,1400.0,71.0,72.0,12.6,8.0,10912.0,45.0
Yes,810.0,484.0,356.0,6.0,33.0,2155.0,191.0,9200.0,4800.0,1e3,4200.0,65.0,85.0,24.1,9.0,3480.0,100.0
Yes,1561.0,1188.0,458.0,48.0,72.0,1548.0,840.0,13380.0,4210.0,500.0,900.0,89.0,91.0,17.8,34.0,8747.0,81.0
Yes,900.0,473.0,217.0,22.0,47.0,621.0,11.0,4400.0,3400.0,800.0,900.0,53.0,93.0,10.4,16.0,9268.0,92.0
No,3570.0,2215.0,651.0,17.0,41.0,3390.0,325.0,7352.0,3620.0,225.0,500.0,47.0,55.0,16.1,14.0,6374.0,63.0
No,2747.0,1870.0,724.0,12.0,47.0,2874.0,118.0,7920.0,3962.0,550.0,2200.0,74.0,80.0,18.4,23.0,5553.0,62.0
Yes,1641.0,1283.0,527.0,20.0,39.0,1663.0,170.0,11200.0,4e3,500.0,1200.0,61.0,62.0,14.2,24.0,7578.0,70.0
Yes,2013.0,1053.0,212.0,33.0,61.0,912.0,158.0,5150.0,3036.0,500.0,1655.0,64.0,74.0,10.5,11.0,7547.0,59.0
No,5996.0,4993.0,3079.0,29.0,57.0,16269.0,3757.0,5925.0,2980.0,600.0,2242.0,83.0,87.0,15.9,11.0,6741.0,37.0
No,2397.0,2144.0,1525.0,22.0,45.0,6720.0,1822.0,3957.0,2325.0,618.0,1656.0,66.0,77.0,20.0,13.0,4546.0,45.0
Yes,4076.0,3137.0,738.0,25.0,54.0,3010.0,184.0,12990.0,6300.0,600.0,900.0,86.0,88.0,14.7,27.0,9448.0,80.0
Yes,3768.0,2662.0,753.0,42.0,64.0,3558.0,436.0,13592.0,5916.0,545.0,1328.0,84.0,88.0,14.2,10.0,11677.0,84.0
Yes,1891.0,1698.0,719.0,24.0,80.0,2740.0,761.0,11100.0,5870.0,600.0,750.0,77.0,88.0,11.7,14.0,9456.0,53.0
Yes,3579.0,2959.0,868.0,25.0,55.0,5244.0,3417.0,11500.0,5330.0,700.0,2e3,94.0,95.0,6.2,15.0,13009.0,65.0
Yes,1549.0,1392.0,587.0,38.0,72.0,2269.0,85.0,13240.0,3560.0,600.0,400.0,73.0,85.0,13.8,38.0,8949.0,77.0
Yes,1286.0,1005.0,363.0,16.0,37.0,1363.0,74.0,13900.0,4300.0,500.0,900.0,75.0,81.0,14.0,32.0,8024.0,72.0
Yes,1756.0,1500.0,366.0,3.0,21.0,1524.0,280.0,12450.0,5400.0,450.0,870.0,62.0,66.0,12.4,24.0,8832.0,70.0
No,535.0,502.0,223.0,6.0,20.0,959.0,150.0,7320.0,4640.0,500.0,600.0,48.0,65.0,12.6,15.0,7114.0,51.0
Yes,2939.0,1496.0,452.0,56.0,86.0,1723.0,113.0,15909.0,4772.0,500.0,700.0,85.0,91.0,11.9,37.0,14213.0,77.0
Yes,740.0,558.0,177.0,12.0,29.0,628.0,63.0,9620.0,3750.0,550.0,950.0,49.0,55.0,10.8,33.0,10642.0,59.0
Yes,874.0,758.0,428.0,21.0,46.0,1605.0,246.0,9858.0,3700.0,450.0,1200.0,42.0,45.0,17.6,16.0,4796.0,55.0
Yes,1004.0,802.0,239.0,23.0,63.0,909.0,51.0,10440.0,3850.0,525.0,1450.0,63.0,72.0,11.8,20.0,7940.0,64.0
Yes,2432.0,1730.0,563.0,20.0,63.0,2578.0,254.0,12370.0,6800.0,500.0,1800.0,92.0,92.0,13.6,25.0,10062.0,79.0
Yes,962.0,750.0,212.0,21.0,54.0,830.0,150.0,14700.0,6550.0,450.0,400.0,97.0,97.0,11.3,24.0,11291.0,70.0
No,3073.0,2672.0,1547.0,9.0,29.0,9649.0,1792.0,4300.0,2643.0,450.0,1660.0,57.0,68.0,19.0,11.0,5801.0,68.0
Yes,824.0,670.0,337.0,15.0,41.0,1160.0,653.0,9400.0,3400.0,500.0,1100.0,37.0,37.0,8.4,21.0,5352.0,59.0
Yes,1611.0,960.0,342.0,27.0,60.0,1089.0,210.0,13850.0,3920.0,470.0,810.0,80.0,97.0,13.2,30.0,10223.0,96.0
Yes,4731.0,3171.0,830.0,12.0,31.0,3557.0,658.0,10700.0,5925.0,550.0,1200.0,74.0,81.0,17.6,34.0,8408.0,69.0
Yes,5152.0,4600.0,1685.0,36.0,71.0,7016.0,804.0,11610.0,4760.0,600.0,1950.0,86.0,94.0,13.5,25.0,9982.0,77.0
Yes,4226.0,3666.0,2007.0,14.0,60.0,7703.0,2339.0,5094.0,4010.0,700.0,1560.0,77.0,86.0,16.6,10.0,6203.0,50.0
Yes,499.0,441.0,199.0,26.0,52.0,846.0,377.0,11200.0,7400.0,600.0,1300.0,66.0,79.0,6.8,50.0,10819.0,90.0
No,4350.0,2178.0,756.0,39.0,78.0,2997.0,736.0,6490.0,4942.0,650.0,2102.0,75.0,80.0,17.6,30.0,5358.0,84.0
Yes,478.0,327.0,117.0,9.0,34.0,731.0,370.0,11510.0,6450.0,575.0,1075.0,71.0,93.0,10.3,30.0,10502.0,77.0
Yes,695.0,535.0,239.0,21.0,30.0,988.0,785.0,10200.0,7e3,350.0,1100.0,63.0,76.0,11.7,20.0,10622.0,68.0
Yes,941.0,772.0,214.0,10.0,30.0,1247.0,776.0,11390.0,5280.0,500.0,750.0,77.0,82.0,10.6,17.0,8575.0,55.0
Yes,1464.0,888.0,176.0,26.0,52.0,624.0,128.0,11200.0,4208.0,500.0,1642.0,80.0,90.0,11.1,43.0,8317.0,51.0
Yes,549.0,397.0,169.0,26.0,51.0,1343.0,1751.0,9250.0,4550.0,425.0,1350.0,52.0,58.0,13.1,13.0,5925.0,61.0
Yes,1107.0,859.0,323.0,13.0,51.0,1452.0,402.0,11040.0,4500.0,600.0,700.0,65.0,76.0,11.8,30.0,9034.0,66.0
Yes,6411.0,2140.0,1078.0,96.0,99.0,4481.0,28.0,20100.0,5975.0,725.0,1600.0,99.0,99.0,10.1,35.0,33541.0,94.0
No,233.0,233.0,153.0,5.0,12.0,658.0,58.0,4486.0,2516.0,600.0,1900.0,68.0,68.0,15.7,11.0,6971.0,51.0
Yes,1002.0,555.0,119.0,16.0,43.0,836.0,684.0,7680.0,3740.0,500.0,800.0,70.0,74.0,17.7,21.0,6652.0,52.0
